기준일자,분류명,항목명,녹번동,불광제1동,불광제2동,갈현제1동,갈현제2동,구산동,대조동,응암제1동,응암제2동,응암제3동,역촌동,신사제1동,신사제2동,증산동,수색동,진관동
2016,신체건강,비만율,47.66,31.1,49.37,45.27,56.98,55.19,52.65,48.25,47.73,68.54,60.71,50.12,55.11,49.22,56.53,25.58
2016,신체건강,고혈압신규의료이용률,54.13,44.54,56.61,31.76,45.96,63.0,53.06,48.8,48.8,51.64,48.8,42.06,54.84,67.62,60.16,28.21
2016,신체건강,당뇨병신규의료이용률,31.2,47.57,48.59,51.66,60.87,55.76,51.66,49.62,57.8,68.04,53.71,44.5,56.78,51.66,44.5,26.08
2016,신체건강,관절염평생의사진단경험률,43.28,53.1,39.57,55.24,44.29,52.22,54.18,38.92,45.37,64.53,58.84,43.19,53.65,34.42,74.32,44.88
2016,신체건강,이상지질혈증신규의료이용률,37.65,51.85,55.48,37.34,50.94,55.18,56.69,59.1,59.41,62.13,43.99,49.43,48.83,62.13,45.5,24.35
2016,신체건강,흡연율,50.28,38.12,59.45,54.07,53.74,50.57,54.81,52.66,49.26,68.34,58.89,46.94,52.43,46.43,42.42,21.59
2016,신체건강,음주율,59.78,41.66,62.31,41.3,49.82,41.01,57.91,49.75,48.09,68.74,58.41,60.87,47.58,42.02,38.77,31.98
2016,정신건강,스트레스인지율,59.51,44.37,44.94,46.61,50.11,52.2,53.81,44.77,44.07,57.25,58.68,24.31,71.26,57.02,49.42,41.67
2016,정신건강,우울감경험률,51.12,48.79,70.69,51.15,47.1,54.11,49.05,32.64,38.78,50.57,35.99,59.6,44.46,42.9,55.26,67.79
2016,일상생활 건강유지 노력,걷기실천율,43.76,52.04,29.2,49.93,59.27,50.67,31.33,55.23,60.61,38.61,54.11,62.67,65.19,48.26,51.58,47.55
2016,일상생활 건강유지 노력,일반1차검진수검률,52.43,47.87,56.82,52.08,49.36,73.24,52.78,53.22,45.41,50.32,62.97,47.43,36.98,33.2,53.75,32.15
2016,일상생활 건강유지 노력,보건기관이용률,47.94,35.59,45.62,49.17,36.86,68.6,52.65,57.93,52.94,61.79,46.97,60.71,63.62,41.03,36.84,41.72
2016,일상생활 건강유지 노력,영양표시활용률,64.13,39.73,64.55,50.75,43.38,51.23,57.75,57.16,37.14,37.14,54.65,37.14,47.88,64.26,37.14,55.97
2016,인구사회학적 구성,노령인구비율,56.66,52.06,62.56,50.51,41.03,50.95,52.17,45.56,39.16,69.34,42.51,44.27,44.25,53.75,65.63,29.6
2016,인구사회학적 구성,한부모가족가구비율,37.93,38.44,58.28,68.76,61.61,57.78,47.72,43.34,61.0,58.82,48.81,40.28,51.08,48.42,46.24,31.48
2016,인구사회학적 구성,동별인구밀도,43.23,38.68,46.25,51.11,56.28,49.29,63.09,47.67,50.0,66.61,67.11,57.8,46.82,48.45,37.5,30.11
2016,인구사회학적 구성,영유아비율,50.46,59.93,38.19,41.23,48.45,48.14,45.04,49.23,75.04,35.13,57.52,52.57,47.23,45.6,40.95,65.28
2016,인구사회학적 구성,표준화사망비,53.32,53.52,47.33,57.91,29.88,66.71,52.87,59.45,45.58,50.52,44.83,48.65,36.57,53.34,65.33,34.18
2016,빈곤 수준 비율,기초생활수급자비율,44.16,41.92,65.09,67.92,49.92,45.21,54.22,41.95,51.61,64.2,47.02,41.84,51.75,42.94,60.39,29.86
2016,빈곤 수준 비율,독거노인비율,59.78,52.28,63.99,54.04,42.59,41.4,55.69,45.82,48.16,68.34,43.27,40.21,45.93,47.94,62.04,28.51
2016,보건 및 의료기관,의료기관시설비,59.15,46.3,51.82,44.99,54.93,56.36,25.47,32.64,60.93,36.92,54.45,51.46,61.11,51.9,55.94,55.64
2016,보건 및 의료기관,약국시설비,58.65,53.61,44.49,47.33,45.7,65.63,33.49,39.26,30.37,46.14,54.87,60.13,60.98,47.23,49.16,62.97
2016,보건 및 의료기관,안전상비약판매업소시설비,45.71,54.4,50.18,41.48,41.58,52.02,33.78,45.98,65.99,45.23,42.85,50.82,61.9,41.37,74.13,52.6
2016,복지서비스시설,노인여가복지시설비,53.68,45.53,57.83,52.45,55.48,51.89,61.13,56.76,47.59,60.75,59.78,48.78,45.79,44.92,37.06,20.56
2016,복지서비스시설,영유아보육시설비,49.47,54.42,48.29,48.35,57.17,51.78,47.13,56.04,53.72,46.67,51.63,57.04,50.86,15.27,63.73,48.42
2016,건강체육위생시설,체육시설비,33.55,56.97,57.42,42.46,49.93,21.77,55.48,49.79,45.48,51.16,55.44,57.4,47.39,58.07,60.75,56.94
2016,건강체육위생시설,도시공원면적비,39.49,53.43,54.94,54.82,54.88,15.31,54.85,45.92,54.84,54.85,54.89,54.96,51.0,54.91,55.03,45.88
